Objective1,Objective2,X_all_values
6071.4032,0.2222,"[44.93544811, 20, 44.71520305, 10, 83.86833075, 3, 50.95173241, 38, 73.13363161, 20.09625704, 101.24120441, 81, 84.84027424, 19.04702339, 77.3899978, 66, 95.65105909, 5, 25.02206171]"
6067.0856,0.2227,"[98.08784445, 41, 62.65227656, 10.41488871, 92.96788255, 84.0095181, 56.56649985, 38, 74.00274552, 20.88073992, 100.98391732, 81, 85.81043666, 18, 81.46013115, 65.01648733, 99.43371354, 89, 24.0094369]"
6031.6167,0.2227,"[44.93544811, 20, 44.71520305, 10, 83.86833075, 3, 50.95173241, 38, 75.89778954, 20.09625704, 101.57761793, 81, 84.84027424, 19.04702339, 79.02970862, 66, 97.78536527, 5, 25.02206171]"
6015.9293,0.2228,"[44.93544811, 20, 44.71520305, 10, 83.86833075, 3, 57.2273725, 38, 75.89778954, 20.09625704, 101.57761793, 81, 84.0149948, 19.04702339, 78.91100696, 66, 60.99486886, 5, 21.79184454]"
26252.8176,0.0978,"[84.6877184, 87, 98.19254301, 46, 77.42178025, 18, 92.13035393, 15, 71.14193288, 34, 63.43291246, 87, 12.48697752, 12, 88.77269449, 65, 92.85958259, 73, 9.53804943]"
15215.9412,0.1183,"[84.6877184, 87, 98.19254301, 14, 96.9488329, 48, 70.02903632, 87, 41.83893843, 14, 97.28289626, 14, 89.02383501, 61, 67.31201321, 2, 66.14781333, 29, 9.53804943]"
14577.8968,0.1282,"[70.95750312, 6, 97.93469594, 45.59845394, 77.82741926, 18, 92.13035393, 49.50205073, 65.92401456, 46, 63.28878177, 88, 29.41452242, 63, 67.31201321, 2, 66.14781333, 29, 8.87463444]"
14899.5183,0.1218,"[70.95750312, 6, 97.93469594, 45.59845394, 77.82741926, 18, 92.13035393, 49.50205073, 65.92401456, 46, 63.28878177, 88, 29.41452242, 63, 67.31201321, 2, 66.14781333, 29, 8.87463444]"
14578.0414,0.1282,"[31.64432748, 27, 96.48229338, 14, 23.17806053, 46.27674346, 24.47389083, 79, 63.50193381, 5.62614933, 25.71740693, 63, 68.42801422, 72, 77.34794752, 14, 66.14781333, 55, 54.80131106]"
15239.3404,0.1182,"[31.64432748, 27, 96.48229338, 14, 23.17806053, 46.27674346, 24.47389083, 79, 63.50193381, 5.62614933, 25.71740693, 63, 68.42801422, 72, 77.34794752, 14, 92.85958259, 55, 54.80131106]"
15528.8355,0.1175,"[31.64432748, 27, 96.48229338, 14, 23.17806053, 46.27674346, 24.47389083, 79, 63.50193381, 5.62614933, 25.71740693, 63, 68.42801422, 72, 77.34794752, 14, 51.55682297, 55, 54.80131106]"
14890.5367,0.1273,"[84.6877184, 87, 96.56570287, 45.59845394, 77.42178025, 78, 88.11224194, 49, 65.92401456, 14, 97.28289626, 14, 49.13851948, 12, 88.77269449, 65, 92.85958259, 73.14973801, 9.92643386]"
15216.3401,0.1183,"[31.64432748, 27, 96.48229338, 14, 23.17806053, 46.27674346, 22.83838139, 79, 63.50193381, 5.62614933, 25.71740693, 63, 68.42801422, 72, 77.34794752, 14, 92.85958259, 55, 53.70147659]"
5909.9037,0.2231,"[31.64432748, 5.32235448, 97.01424109, 45.59845394, 75.45983506, 18, 20.15553985, 49.50205073, 65.92401456, 46, 63.28878177, 88, 48.56544881, 62.95189071, 67.31201321, 1.18971379, 65.54898436, 29, 53.70147659]"
5909.9048,0.2231,"[31.64432748, 27, 96.74070558, 14, 26.18065076, 46.27674346, 23.87196708, 78.40149362, 65.5604259, 5.51411446, 97.29584978, 63, 49.25597535, 72, 66.14295392, 14, 51.33784949, 55, 53.97759022]"
5911.0449,0.223,"[85.38293632, 5.32235448, 102.1554047, 45.59845394, 77.82741926, 18, 95.98710571, 49.51051087, 66.45343271, 46, 98.36800779, 88, 49.25597535, 62.95189071, 67.31201321, 1.18971379, 92.77772653, 29, 9.82338089]"
5910.0757,0.223,"[31.64432748, 27, 96.03535189, 14, 26.18065076, 46.27674346, 20.15553985, 78.40149362, 65.5604259, 5.51411446, 97.29584978, 63, 49.25597535, 72, 67.15815923, 14, 51.33784949, 55, 54.12598108]"
5685.6067,0.2293,"[31.64432748, 27, 96.03535189, 14, 20.98435051, 46.27674346, 20.15553985, 78.40149362, 65.5604259, 5.42420509, 98.22945324, 63, 49.25597535, 72, 66.05200058, 14, 51.33784949, 55, 53.70987726]"
5685.7218,0.2293,"[85.38293632, 5.32235448, 97.01424109, 45.59845394, 77.82741926, 18, 89.74505719, 49.50205073, 66.45343271, 46, 63.28878177, 88, 48.56544881, 63, 70.58721353, 1.18971379, 63.22354344, 29, 53.70147659]"
5682.8194,0.2293,"[85.38293632, 5.32235448, 97.01424109, 45.59845394, 77.82741926, 18, 89.74505719, 49.50205073, 66.45343271, 46, 98.36800779, 88, 49.25597535, 63, 70.58721353, 1.18971379, 63.22354344, 29, 53.70147659]"
5684.8101,0.2293,"[85.92297313, 5.32235448, 103.02606322, 44.76550643, 77.82741926, 17.84887461, 95.98710571, 50.16707146, 66.54770631, 5.04014299, 97.28289626, 63, 55.73588591, 11.87257689, 90.65410737, 65, 93.52672724, 73, 53.70147659]"
